　 —
。 ．
、 ，
・ ●
あ うぁ
い うぃ
う ぅ
え うぇ
お うぉ
か きゃ
く きゅ
け きぇ
こ きょ
が ぎゃ
ぐ ぎゅ
げ ぎぇ
ご ぎょ
さ しゃ
す しゅ
せ しぇ
そ しょ
しょ しょう
ざ じゃ
ず じゅ
ぜ じぇ
ぞ じょ
た ちゃ
ち てぃ
つ ちゅ
て ちぇ
と ちょ
だ ぢゃ
ぢ でぃ
づ ぢゅ
で でき
ど ぢょ
な にゃ
ぬ にゅ
ね にぇ
の にょ
は ひゃ
ひ ふぃ
ふ ひゅ
へ ひぇ
ほ ひょ
ば びゃ
ぶ びゅ
べ びぇ
ぼ びょ
ぱ ぴゃ
ぷ ぴゅ
ぺ ぴぇ
ぽ ぴょ
ま みゃ
む みゅ
め みぇ
も みょ
や やる
よ より
ら りゃ
る りゅ
れ りぇ
ろ りょ
わ ゎ
を ヲ
ア ウァ
イ ウィ
ウ ゥ
エ ウェ
オ ウォ
カ キャ
ク キュ
ケ キェ
コ キョ
ガ ギャ
グ ギュ
ゲ ギェ
ゴ ギョ
サ シャ
ス シュ
セ シェ
ソ ショ
ザ ジャ
ズ ジュ
ゼ ジェ
ゾ ジョ
タ チャ
チ ティ
ツ チュ
テ チェ
ト チョ
ダ デュ
ヂ ディ
ヅ デュ
デ ディ
ド ヂョ
ナ ニャ
ヌ ニュ
ネ ニェ
ノ ニョ
ハ ファ
ヒ フィ
フ ヒュ
ヘ フェ
ホ フォ
バ ヴァ
ビ ヴィ
ブ ビュ
ヴ ヴュ
ベ ヴェ
ボ ヴォ
パ ピャ
プ ピュ
ペ ピェ
ポ ピョ
マ ミャ
ム ミュ
メ ミェ
モ ミョ
ラ リャ
ル リュ
レ リェ
ロ リョ
分 ふん
宇 宙
死 屍
非 排
由 油
観 勧
将 奨
起 勃
横 縦
田 畑
普 晋
参 惨
過 禍
神 仏
徹 撤
撤 徹
亡 忘
忘 亡
防 妨
輸 愉
綿 帛
帛 綿
壊 懐
戻 涙
龍 襲
暴 爆
某 媒
興 奮
憤 噴
遇 偶
優 憂
乳 浮
慮 虜
鶴 亀
書 粛
援 暖
隊 遂
寺 寸
半 伴
誤 呉
盾 循
比 批
派 脈
付 符
寮 僚
療 瞭
路 露
腕 脚
会 絵
際 祭
携 繋
清 潔
幼 稚
以 似
殊 朱
唐 糖
処 拠
侵 浸
竜 滝
然 燃
包 抱
隠 穏
健 鍵
森 杜
賢 腎
婦 掃
求 救
義 儀
議 犠
及 吸
甚 勘
粋 枠
滋 磁
兼 嫌
温 湿
適 摘
照 昭
雨 雪
容 溶
振 辰
耳 恥
任 壬
危 脆
契 喫
一 壱
二 弐
四 肆
臣 姫
於 おいて
敢 あえて
却 脚
子 孫
挙 誉
折 誓
軍 揮
済 剤
指 旨
帝 締
秀 透
程 呈
領 嶺
寄 より
雇 顧
逢 峰
渕 淵
概 慨
漢 嘆
自 息
留 溜
単 弾
暮 幕
募 墓
築 筑
蓄 畜
矢 弓
太 犬
描 猫
曳 洩
益 溢
父 爺
香 薫
虚 嘘
狭 挟
幹 斡
奇 綺
康 逮
景 憬
模 莫
孤 弧
后 妃
恵 慧
巧 朽
