あい /アイ/
あいあい /アイアイ;aye-aye. お猿さんだよ/
あいあす /アイアス/
あいあむ /アイアム;I am/
あいあん /アイアン/
あいあんさいど /アイアンサイド/
あいあんまん /アイアンマン/
あいあーす /アイアース/
あいう゛ぁん /アイヴァン/
あいう゛ぁんほー /アイヴァンホー/
あいう゛ぃ /アイヴィ/
あいう゛ぃー /アイヴィー/
あいう゛ぉりー /アイヴォリー/
あいう゛す /アイヴス/
あいう゛ず /アイヴズ/
あいおだいん /アイオダイン/
あいおな /アイオナ/
あいおにあん /アイオニアン/
あいおらいと /アイオライト/
あいおろす /アイオロス/
あいおわ /アイオワ/
あいおん /アイオン/
あいからー /アイカラー/
あいがー /アイガー/
あいがーど /アイガード/
あいきゃっち /アイキャッチ;和製英語/
あいく /アイク;[企業名]消費者金融。aic.jp/
あいこにふぁい /アイコニファイ/
あいこん /アイコン/
あいこんたくと /アイコンタクト/
あいざっく /アイザック/
あいしゃ /アイシャ/
あいしゃどう /アイシャドウ/
あいしゃどー /アイシャドー/
あいしんぐ /アイシング/
あいしー /アイシー/
あいす /アイス/
あいすう゛ぁいん /アイスヴァイン/
あいすきゃっぷ /アイスキャップ/
あいすきゅろす /アイスキュロス/
あいすきゅーぶ /アイスキューブ/
あいすくりーむ /アイスクリーム/
あいすこーひー /アイスコーヒー/
あいすだんす /アイスダンス/
あいすてぃ /アイスティ/
あいすてぃー /アイスティー/
あいすのん /アイスノン;[商標]白元/
あいすばー /アイスバー/
あいすばーぐ /アイスバーグ/
あいすぴっく /アイスピック/
あいすぺーる /アイスペール/
あいすほっけー /アイスホッケー/
あいすぼっくす /アイスボックス/
あいすみるく /アイスミルク/
あいすらんど /アイスランド;.is/
あいすりんく /アイスリンク/
あいすわいん /アイスワイン/
あいず /アイズ/
あいぜんはわー /アイゼンハワー/
あいそ /アイソ/
あいそざいむ /アイソザイム/
あいそとにっく /アイソトニック/
あいそとーぷ /アイソトープ/
あいそぱらめとりっく /アイソパラメトリック/
あいそめ /アイソメ;isometric/
あいそめとりっく /アイソメトリック/
あいそれーしょん /アイソレーション/
あいそれーた /アイソレータ/
あいだ /アイダ/
あいだほ /アイダホ;ID/
あいてぃー /アイティー/
あいてむ /アイテム/
あいであ /アイデア/
あいであまん /アイデアマン/
あいである /アイデアル/
あいでぃあ /アイディア/
あいでぃー /アイディー/
あいでんてぃてぃ /アイデンティティ/
あいでんてぃてぃー /アイデンティティー/
あいでんてぃふぁい /アイデンティファイ/
あいでんてぃふぁいあ /アイデンティファイア/
あいど /アイド/
あいどりんぐ /アイドリング/
あいどる /アイドル/
あいどるたいむ /アイドルタイム/
あいな /アイナ/
あいぬ /アイヌ/
あいねす /アイネス/
あいの /アイノ/
あいばんく /アイバンク/
あいばんほー /アイバンホー/
あいひまん /アイヒマン/
あいびー /アイビー/
あいふる /アイフル;[企業名]消費者金融。www.aiful.co.jp/
あいぶす /アイブス/
あいぶろう /アイブロウ/
あいぶろー /アイブロー/
あいべっくす /アイベックス/
あいぼ /アイボ;[商標]ソニー/
あいぼりー /アイボリー/
あいぼりーほわいと /アイボリーホワイト/
あいぽっど /アイポッド;iPod/
あいますく /アイマスク/
あいまっく /アイマック/
あいまーる /アイマール/
あいむ /アイム/
あいめいく /アイメイク;eye makeup/
あいゆーぶ /アイユーブ/
あいら /アイラ/
