e		、
s		。
、n		っ
。n		ー
。e		を
m		あ
i		い
u		う
,		え
o		お
w		か
かm	か
かi		き
かu		く
か,		け
かo		こ
r		さ
さm	さ
さi		し
さu		す
さ,		せ
さo		そ
t		た
p		な
a		は
c		ま
.		や
l		ゆ
y		よ
f		ら
v		わ
n		ん
たm	た
たi		ち
たu		つ
た,		て
たo		と
なm	な
なi		に
なu		ぬ
な,		ね
なo		の
はm	は
はi		ひ
はu		ふ
は,		へ
はo		ほ
まm	ま
まi		み
まu		む
ま,		め
まo		も
らm	ら
らi		り
らu		る
ら,		れ
らo		ろ
わm	わ
わi		うぃ
わ,		うぇ
わo		うぉ
、m		ぁ
、i		ぃ
、u		ぅ
、,		ぇ
、o		ぉ
、.		ゃ
、l		ゅ
、y		ょ
、w		が
がm	が
がi		ぎ
がu		ぐ
が,		げ
がo		ご
、r		ざ
ざm	ざ
ざi		じ
ざu		ず
ざ,		ぜ
ざo		ぞ
、t		だ
だm	だ
だi		ぢ
だu		づ
だ,		で
だo		ど
、a		ば
ばm	ば
ばi		び
ばu		ぶ
ば,		べ
ばo		ぼ
。a		ぱ
ぱm	ぱ
ぱi		ぴ
ぱu		ぷ
ぱ,		ぺ
ぱo		ぽ
か.		きゃ
かl		きゅ
かy		きょ
さ.		しゃ
さl		しゅ
さy		しょ
た.		ちゃ
たl		ちゅ
たy		ちょ
な.		にゃ
なl		にゅ
なy		にょ
は.		ひゃ
はl		ひゅ
はy		ひょ
、v		ふぁ
ふぁm	ふぁ
ふぁi		ふぃ
ふぁ,		ふぇ
ふぁo		ふぉ
、c		ゔぁ
ゔぁm	ゔぁ
ゔぁi		ゔぃ
ゔぁu		ゔ
ゔぁ,		ゔぇ
ゔぁo		ゔぉ	
ら.		りゃ
らl		りゅ
らy		りょ
が.		ぎゃ
がl		ぎゅ
がy		ぎょ
ざ.		じゃ
ざl		じゅ
ざy		じょ
だ.		ぢゃ
だl		ぢゅ
だy		ぢょ
ば.		びゃ
ばl		びゅ
ばy		びょ
ぱ.		ぴゃ
ぱl		ぴゅ
ぱy		ぴょ
