k		、
d		。
q		ー
、q		～
h		っ
m		あ
l		い
i		う
,		え
;		お
w		か
かm	か
かl		き
かi		く
か,		け
か;		こ
s		さ
さm	さ
さl		し
さi		す
さ,		せ
さ;		そ
f		た
たm	た
たl		ち
たi		つ
た,		て
た;		と
r		な
なm	な
なl		に
なi		ぬ
な,		ね
な;		の
a		は
はm	は
はl		ひ
はi		ふ
は,		へ
は;		ほ
x		ま
まm	ま
まl		み
まi		む
ま,		め
ま;		も
.		や
u		ゆ
o		よ
e		ら
らm	ら
らl		り
らi		る
ら,		れ
ら;		ろ
c		わ
わm	わ
わl		うぃ
わi		う
わ,		うぇ
わ;		うぉ
j		ん
、j		を
、m		ぁ
、l		ぃ
、i		ぅ
、,		ぇ
、;		ぉ
、.		ゃ
、u		ゅ
、o		ょ
、c		ゎ
、w		が
がm	が
がl		ぎ
がi		ぐ
が,		げ
が;		ご
、s		ざ
ざm	ざ
ざl		じ
ざi		ず
ざ,		ぜ
ざ;		ぞ
、f		だ
だm	だ
だl		ぢ
だi		づ
だ,		で
だ;		ど
、a		ば
ばm	ば
ばl		び
ばi		ぶ
ば,		べ
ば;		ぼ
、e		じゃ
じゃm	じゃ
じゃl		じ
じゃi		じゅ
じゃ,		じぇ
じゃ;		じょ
、d		しゃ
しゃm	しゃ
しゃl		し
しゃi		しゅ
しゃ,		しぇ
しゃ;		しょ
、x		ゔぁ
ゔぁm	ゔぁ
ゔぁl		ゔぃ
ゔぁi		ゔ
ゔぁ,		ゔぇ
ゔぁ;		ゔぉ
、c		ふぁ
ふぁm	ふぁ
ふぁl		ふぃ
ふぁi		ふ
ふぁ,		ふぇ
ふぁ;		ふぉ
。a		ぱ
ぱm	ぱ
ぱl		ぴ
ぱi		ぷ
ぱ,		ぺ
ぱ;		ぽ
。s		ぴゃ
ぴゃm	ぴゃ
ぴゃl		ぴぃ
ぴゃi		ぴゅ
ぴゃ,		ぴぇ
ぴゃ;		ぴょ
か.		きゃ
かu		きゅ
かo		きょ
さ.		しゃ
さu		しゅ
さo		しょ
た.		ちゃ
たu		ちゅ
たo		ちょ
ち.		ちゃ
ちu		ちゅ
ちo		ちょ
な.		にゃ
なi		にゅ
なo		にょ
は.		ひゃ
はu		ひゅ
はo		ひょ
ま.		みゃ
まu		みゅ
まo		みょ
ら.		りゃ
らu		りゅ
らo		りょ
